trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
69,16,STOP_425876a5-bfc0-4dfb-afe8-fb4bb81696cb,18:58:00,18:58:00,,0,0,552480.84,
69,17,STOP_f8bdf734-ec0b-4f9a-ae8d-ba8ab42c9f23,19:11:00,19:11:00,,0,0,557155.05,
64,0,STOP_2f3de340-9e78-4768-b778-84f737c21446,08:20:00,08:20:00,,0,0,0.00,
64,1,STOP_87d4ae01-12f2-4141-aeb1-9255c53f5709,08:44:00,08:44:00,,0,0,32239.23,
64,2,STOP_831f8468-8d0f-4ff3-a5b2-cc638c3cd898,08:59:00,08:59:00,,0,0,53274.94,
64,3,STOP_b73bed07-3f56-45b8-8bf7-3689b7267379,09:34:00,09:34:00,,0,0,80599.47,
64,4,STOP_936935d2-df44-405e-a10c-4c42ca844fb2,09:54:00,09:54:00,,0,0,105667.33,
64,5,STOP_fdb7e692-36a9-4389-b77e-7209cfa03995,10:16:00,10:18:00,,0,0,121891.63,
64,6,STOP_1473715,10:34:00,12:17:00,,0,0,124543.65,0
64,7,AK_10020,12:55:00,12:55:00,,0,0,153655.11,0
64,8,AK_10019,13:09:00,13:09:00,,0,0,166023.60,0
64,9,AK_10018,14:03:00,14:03:00,,0,0,261283.09,0
64,10,AK_10017,15:18:00,15:18:00,,0,0,378413.94,0
64,11,AK_10016,16:01:00,16:01:00,,0,0,438456.38,0
64,12,AK_10015,16:19:00,16:19:00,,0,0,459656.39,0
64,13,STOP_1473616,17:20:00,17:20:00,,0,0,542932.57,0
64,14,AK_10007,18:17:00,18:17:00,,0,0,570303.48,0
64,15,AK_10006,18:39:00,19:15:00,,0,0,595581.80,0
64,16,AK_10005,19:37:00,19:37:00,,0,0,638935.48,0
64,17,AK_10004,19:59:00,19:59:00,,0,0,678034.86,0
64,18,AK_10003,20:15:00,20:15:00,,0,0,701988.36,0
64,19,AK_10002,20:56:00,20:56:00,,0,0,759562.85,0
64,20,AK_10001,21:16:00,21:16:00,,0,0,787850.00,0
64,21,AK_10000,21:55:00,21:55:00,,0,0,809885.70,0
63,0,AK_10000,07:15:00,07:15:00,,0,0,0.00,0
63,1,AK_10001,07:44:00,07:44:00,,0,0,22035.71,0
63,2,AK_10002,08:03:00,08:03:00,,0,0,50322.86,0
63,3,AK_10003,08:45:00,08:45:00,,0,0,107897.35,0
63,4,AK_10004,09:00:00,09:00:00,,0,0,131850.85,0
63,5,AK_10005,09:21:00,09:21:00,,0,0,170950.23,0
63,6,AK_10006,09:50:00,10:00:00,,0,0,214303.90,0
63,7,AK_10007,10:24:00,10:24:00,,0,0,239582.23,0
63,8,STOP_1473616,10:44:00,10:44:00,,0,0,266953.14,0
63,9,AK_10015,11:41:00,11:41:00,,0,0,350229.32,0
63,10,AK_10016,11:54:00,11:54:00,,0,0,371429.32,0
63,11,AK_10017,12:43:00,12:43:00,,0,0,431471.77,0
